"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng của bạn."
"%s was updated in your shopping cart.","%s đã được cập nhật vào giỏ hàng của bạn."
"* Required Fields","(*): bắt buộc"
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","Cannot remove the item."
"Cannot update shopping cart.","Cannot update shopping cart."
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Cộng giỏ hàng:"
"Change","Sửa"
"Change Billing Address","Change Billing Address"
"Checkbox Text","Checkbox Text"
"Checkout","Thanh toán"
"Checkout Conditions","Checkout Conditions"
"Checkout Method","Chọn phương thức mua hàng"
"Checkout Options","Checkout Options"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Mua hàng không cần đăng ký"
"Checkout as a Guest or Register","Khách hàng mới"
"Checkout with Multiple Addresses","Checkout with Multiple Addresses"
"City","Quận/Huyện"
"Clear Shopping Cart","Xóa hết giỏ hàng"
"Click <a style=""color: #c00"" href=""%s"">here</a> to continue shopping.","Click <a style=""color: #c00"" href=""%s"">vào đây</a> để quay lại trang chủ."
"Your credit card should be authorized by your credit card issuer to make an online payment by activating 3-D Security Code. Please contact your credit card company to verify this.","Thẻ phải được ngân hàng kích họat mã  3 -D Security Code để có thể thanh tóan trên mạng . Xin quý khách vui lòng liên hệ với ngân hàng của mình để kiểm tra."
"The effective time for OTP code (One Time Password) is very short, usually 5 minutes. If waited for too long to input this OTP code, it will cause the payment to fail.","Thời gian hiệu lực của mã OTP (One Time Password) là rất ngắn, thường là 5 phút. Nếu đợi quá lâu, sẽ dẫn đến việc thanh toán không thành công."
"When input expiration date for your credit card, the format need to be MM/YY. For example, if the expiration date is 05/2016, then input 05/16.","Khi nhập ngày hết hạn của thẻ khi thanh toán, phải theo mẫu MM/YY. Ví dụ: nếu ngày hết hạn là tháng 5 năm 2016, thì nhập là 05/16."
"Most common reasons for a payment fail","Những Lý Do Thường Gặp Khi Thanh Toán Không Thành Công"
"Please call us at:","Xin gọi cho chúng tôi:"
"Please email us at:","Xin gửi Email cho chúng tôi:"
"We apologize for your unsuccessful payment. We are trying to resolve this issue as fast as possible. Here is order id: '%s' in case you want to contact us.","Fahasa thành thật xin lỗi về việc thanh toán không thành công của bạn. Fahasa đang kiểm tra và giải quyết vấn đề này trong thời gian sớm nhất. Đây là mã đơn hàng của bạn: '%s' trong trường hợp bạn muốn liên hệ."
"Close","Close"
"Company","Công ty"
"Condition Name","Tên điều kiện"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Confirm Password"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Continue"
"Continue Shopping","Chọn Thêm"
"Go to shopping cart","Thanh Toán"
"My Cart ","Giỏ Hàng "
"item","sản phẩm"
"items","sản phẩm"
"Continue to Billing Information","Continue to Billing Information"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Continue to Shipping Information"
"Country","Quốc gia"
"The current value of ""%s"" code is 0 VND","Giá trị của mã ""%s"" hiện tại còn 0 VND"
"Coupon code ""%s"" is not valid.","Mã khuyến mãi ""%s"" không chính xác."
"Coupon code ""%s"" is used.","Mã khuyến mãi ""%s"" đã được sử dụng hết."
"Coupon code ""%s"" was applied.","Mã khuyến mãi ""%s"" được áp dụng."
"Coupon code ""%s"" has Expired.","Mã khuyến mãi ""%s"" đã hết hạn sử dụng."
"Coupon code ""%s"" exist but do not apply the conditions. Please see <a target=""_blank"" href=""http://www.fahasa.com/dieu-kien-dung-ma-giam-gia"">http://www.fahasa.com/dieu-kien-dung-ma-giam-gia</a>","Mã khuyến mãi ""%s"" không được áp dụng vì không thỏa luật giỏ hàng. Xin xem <a target=""_blank"" href=""http://www.fahasa.com/dieu-kien-dung-ma-giam-gia"">http://www.fahasa.com/dieu-kien-dung-ma-giam-gia</a>"
"Coupon code ""%s"" exist but do not apply the conditions.","Mã khuyến mãi ""%s"" không được áp dụng vì không thỏa luật giỏ hàng."
"Coupon code was canceled.","Mã khuyến mãi đã bị hủy bỏ."
"Create Billing Address","Create Billing Address"
"Create Shipping Address","Create Shipping Address"
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer Address is not valid.","Customer Address is not valid."
"Customer Information","Customer Information"
"Customer's information","Customer's information"
"Data saving problem","Data saving problem"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Delete Condition","Delete Condition"
"Details","Details"
"Disabled","Không hiệu lực"
"Discount Codes","Mã giảm giá"
"Display Cart Summary","Display Cart Summary"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Display item quantities"
"Display number of items in cart","Display number of items in cart"
"Display number of items in wishlist","Display number of items in wishlist"
"Easy access to your order history and status","Dễ dàng xem lịch sử và tình trạng đơn hàng"
"Edit","Edit"
"Edit Address","Edit Address"
"Edit Billing Address","Edit Billing Address"
"Edit Condition","Edit Condition"
"Edit Items","Edit Items"
"Edit Shipping Address","Edit Shipping Address"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Chỉnh sửa giỏ hàng"
"Edit item","Sửa sản phẩm"
"Edit item parameters","Edit item parameters"
"Email Address","Địa chỉ Email"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Có hiệu lực"
"Enter a New Address","Enter a New Address"
"Enter your coupon code if you have one.","Nhập Mã giảm giá (Coupon Code) vào đây"
"Enter your coupon code:","Nhập Mã giảm giá:"
"Enter your destination to get a shipping estimate.","Nhập địa điểm của bạn để ước tính cước phí."
"Estimate Shipping and Tax","Ước tính cước phí vận chuyển"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Nhanh chóng và dễ dàng khi thanh toán"
"Fax","Fax"
"Forgot an Item?","Bạn còn muốn mua thêm?"
"Forgot your password?","Quên mật khẩu?"
"Get a Quote","Ước tính"
"Get list of available payment methods","Get list of available payment methods"
"Get list of available shipping methods","Get list of available shipping methods"
"Get list of products in shopping cart","Get list of products in shopping cart"
"Get terms and conditions","Get terms and conditions"
"Get total prices for shopping cart","Get total prices for shopping cart"
"Gift Message","Gift Message"
"Grand Total:","Tổng Số Tiền (gồm VAT)"
"Grouped Product Image","Grouped Product Image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid checkout type.","Invalid checkout type."
"Invalid data.","Invalid data."
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid method: %s","Invalid method: %s"
"Invalid shipping method.","Invalid shipping method."
"Item not found or already ordered","Item not found or already ordered"
"Items","sản phẩm"
"Items After","Items After"
"Items Before","Items Before"
"Load customer quote error","Load customer quote error"
"Loading next step...","Chuyển sang bước kế tiếp..."
"Login","Login"
"Login/Registration Before","Login/Registration Before"
"Manage Terms and Conditions","Quản lý Điều khoản và Điều kiện"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Minimum order amount is %s","Minimum order amount is %s"
"Move","Chuyển đến"
"Move to Wishlist","Sản phẩm yêu thích"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","Giỏ hàng"
"My Cart (%s item)","Giỏ hàng (%s)"
"My Cart (%s items)","Giỏ hàng (%s)"
"My Cart Link","My Cart Link"
"New Address","Địa chỉ mới"
"New Condition","New Condition"
"New Terms and Conditions","New Terms and Conditions"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","One Page Checkout Success"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","Order #"
"Order Review","Kiểm tra lại đơn hàng"
"Order Success","Order Success"
"Order place error.","Order place error."
"Other Items in Your Order","Other Items in Your Order"
"Overview Items After","Overview Items After"
"Password","Password"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Phương thức thanh toán"
"Payment Method","Phương thức thanh toán:"
"Payment Methods After Checkout Button","Payment Methods After Checkout Button"
"Payment Methods Before Checkout Button","Payment Methods Before Checkout Button"
"Payment method information","Payment method information"
"Payment method is not defined","Payment method is not defined"
"Payment methods in shopping cart","Payment methods in shopping cart"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","Xác nhận đơn hàng"
"CONFIRM INFORMATION","XÁC NHẬN THÔNG TIN"
"Note: Your order might be separated into some sub-orders and delivered at different times, because they might be kept in different stores.","Lưu ý: Đơn hàng của bạn có thể được tách ra để giao nhiều lần do hàng được điều phối từ nhiều nơi. "
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check billing address information.","Please check billing address information."
"Please check shipping address information.","Please check shipping address information."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please log in below:","Vui lòng đăng nhập để mua hàng:"
"Please select region, state or province","Vui lòng chọn"
"Please select City","Vui lòng chọn"
"Please select Ward","Vui lòng chọn"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Please select shipping methods for all addresses"
"Please select valid payment method.","Please select valid payment method."
"Please specify payment method.","Vui lòng chọn phương thức thanh toán."
"Please specify shipping method.","Vui lòng chọn phương thức vận chuyển."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Price","Price"
"Proceed to Checkout","Thanh toán"
"Product","Product"
"Product Name","Product Name"
"Products","Products"
"Qty","Số lượng"
"Images","Hình ảnh"
"Remove","Gỡ bỏ"
"Qty:","Số lượng:"
"Quantity was recalculated from %d to %d","Quantity was recalculated from %d to %d"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Không tìm thấy sản phẩm trong giỏ hàng."
"Recently added item(s)","Sản phẩm thêm gần đây"
"Register","Đăng ký"
"Register and save time!","Lợi ích khi đăng ký thành viên tại website chúng tôi"
"Register to Create an Account","Đăng ký tài khoản mới"
"Register with us for future convenience:","Bạn sẽ thuận tiện hơn nếu đăng ký thành viên."
"Remove Item","Remove Item"
"Remove This Item","Remove This Item"
"Remove coupon code from shopping cart","Remove coupon code from shopping cart"
"Remove item","Remove item"
"Remove product from shopping cart","Remove product from shopping cart"
"Remove product(s) from shopping cart","Remove product(s) from shopping cart"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Retrieve information about shopping cart","Retrieve information about shopping cart"
"Review Order","Review Order"
"Review Order - %s","Review Order - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Lưu vào Sổ địa chỉ"
"See price before order confirmation.","See price before order confirmation."
"Select Address","Select Address"
"Select Addresses","Select Addresses"
"Select Shipping Method","Select Shipping Method"
"Select State/Province...","Chọn..."
"Select a billing address from your address book or enter a new address.","Chọn địa chỉ từ Sổ địa chỉ, hoặc nhập địa chỉ mới."
"Select a shipping address from your address book or enter a new address.","Chọn địa chỉ từ Sổ địa chỉ, hoặc nhập địa chỉ mới."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Send To"
"Separate by "","".","Separate by "",""."
"Set customer for shopping cart","Set customer for shopping cart"
"Set customer's addresses in shopping cart","Set customer's addresses in shopping cart"
"Set payment method","Set payment method"
"Set shipping method","Set shipping method"
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Ship to different address","Vận chuyển đến địa chỉ khác"
"Ship to this address","Vận chuyển đến địa chỉ này"
"Shipping Address","Shipping Address"
"Shipping Information","Thông tin vận chuyển"
"Shipping Method","Phương thức vận chuyển"
"Shipping Methods","Phương thức vận chuyển"
"Shipping To","Shipping To"
"Shipping information","Thông tin vận chuyển"
"Shipping method has not been selected yet","Shipping method has not been selected yet"
"Shipping methods in shopping cart","Shipping methods in shopping cart"
"Shipping selection is not applicable.","Shipping selection is not applicable."
"Shopping Cart","Shopping Cart"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Giỏ hàng trống"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Show Content as","Show Content as"
"Some of the requested products are not available in the desired quantity.","Some of the requested products are not available in the desired quantity."
"Some of the requested products are unavailable.","Some of the requested products are unavailable."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Sorry, guest checkout is not enabled. Please try again or contact the store owner."
"Sorry, no quotes are available for this order at this time.","Quý khách vui lòng điền tên và địa chỉ giao nhận trước."
"State/Province","Tỉnh/Thành phố"
"Status","Status"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submitting order information...","Đang gởi đơn hàng..."
"Subtotal","Thành tiền"
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Telephone","Telephone"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","The product could not be found."
"The product does not exist.","The product does not exist."
"There are <a href=""%s"">%s items</a> in your cart.","Có <a href=""%s"">%s sản phẩm</a> trong giỏ hàng."
"There is <a href=""%s"">1 item</a> in your cart.","Có <a href=""%s"">1 sản phẩm</a> trong giỏ hàng."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Đã có khách hàng đăng ký với Email này. Vui lòng sử dụng Email khác!"
"There was an error processing your order. Please contact us or try again later.","Xảy ra lỗi khi xử lý đơn hàng của bạn. Vui lòng liên hệ với chúng tôi, hoặc hãy thử lại sau!"
"This condition no longer exists.","This condition no longer exists."
"Total","Total"
"Total for this address","Total for this address"
"Unable to set Payment Method.","Unable to set Payment Method."
"Unit Price","Giá"
"Update Cart","Cập nhật giỏ hàng"
"Update Qty &amp; Addresses","Cập nhật Số lượng &amp; Địa chỉ"
"Update Shopping Cart","Cập nhật giỏ hàng"
"Update Total","Cập nhật trị giá"
"Update product quantities in shopping cart","Update product quantities in shopping cart"
"Update product(s) quantities in shopping cart","Update product(s) quantities in shopping cart"
"Use Billing Address","Sử dụng theo Địa chỉ thanh toán"
"GTGT Number","Mã số thuế GTGT"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"What's this?","What's this?"
"You have no items in your shopping cart.","Chưa có sản phẩm trong giỏ hàng của bạn."
"To continue shopping","Tiếp tục mua sắm" 
"You will receive an order confirmation email with details of your order and a link to track its progress.","Bạn sẽ sớm nhận được email xác nhận đơn hàng từ chúng tôi."
"Your Checkout Progress","Tiến trình thanh toán"
"Your billing agreement # is: %s.","Your billing agreement # is: %s."
"Your order # is: %s.","Số đơn hàng: # %s"
"Your order is : # %s.","Số đơn hàng của bạn là: # %s"
"Continue to buy", "Tiếp Tục Mua Sắm"
"Thank you for your purchase at Fahasa.com!","Cảm ơn bạn đã mua hàng tại Fahasa.com!"
"Back to homepage","Quay Lại Trang Chủ"
"Try agian","Thử Lại"
"Your order cannot be completed at this time as there is no payment methods available for it.","Your order cannot be completed at this time as there is no payment methods available for it."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your order has been received.","Đơn hàng của bạn đã được tiếp nhận."
"Your order number is ","Số đơn hàng của bạn là "
"Your recurring payment profiles:","Your recurring payment profiles:"
"Zip/Postal Code","Mã bưu điện"
"Press zip/Postal Code","Nhập Mã bưu điện"
"Fill in the Fields below to complete your purchase!","Điền vào các mục dưới đây để hoàn thành mua hàng của bạn !"
"Name & Address","Tên và địa chỉ"
"Review Your Order","Xem lại"
"Apply","Áp dụng"
"Coupon code is not valid.","Mã không hợp lệ ."
"Normal Shipping","Vận chuyển thường"
"Express Saver","Vận chuyển nhanh"
"'%value%' appears to be a local network name but local network names are not allowed",""
"""%s"" is not a valid hostname.","""%s"" không hợp lệ."
"""%s"" is a required value.","""%s"" là thông tin quan trọng. Vui lòng không để trống."
"""%s"" is not a valid email address.","""%s"" không phải là email hợp lệ."
"Only apply to foreign address","Chỉ áp dụng cho địa chỉ nước ngoài"
"Member","Thành Viên"
"Discount (%s)","Giảm giá (%s)"
"Additional Fees","Chi phí  khác"
"Add Additional Fees","Thêm Phụ Phí"
"Your order may be split and ship multiple times!","Lưu Ý: Đơn hàng có thể bị tách và vận chuyển nhiều lần do Fahasa xuất từ nhiều nơi!"
"Please enter a valid phone number. Minimum 7 numbers and no character.","Số điện thoại không hợp lệ. Số điện thoại cần ít nhất 7 số và không có ký tự chữ."
"Gift wrap","Gói Quà"
"Gift Wrap","Gói Quà"
"Giftwrap","Gói Quà"
"Please use numbers only in this field!","Vui lòng chỉ điền số, không ký tự chữ!"
"Book Collection","Tuyển Tập Sách Hay"
"Coming soon","Sắp Có Hàng"
"Temporarily out of stock.<br/> Please pre-order this item so Fahasa can contact you when it is available.","Tạm hết hàng.<br/> Qúy khách vui lòng đặt trước, Fahasa sẽ liên hệ lại khi có hàng."
"The items in combo will not be delivered separately.","Các sản phẩm trong combo sẽ không được giao riêng lẻ."
"Items are not available in town. <br/>It will take 3-5 business days for delivering (2 more days for rural areas).","Hàng ở xa.<br/>Vận chuyển cộng thêm 3-5 ngày làm việc (tuyến huyện thêm 2 ngày)."
"Please wait as we're redirecting you to our payment gateway. Please do not refresh your browser.","Vui lòng đợi, chúng tôi đang chuyển bạn đến cổng thanh toán. Vui lòng không tải lại trình duyệt web."
"Successful Payment from Webmoney","Thanh toán thành công từ WebMoney"
"Successful Payment","Thanh toán thành công"
"Apply VIP Id","Áp dụng mã VIP"
"VIP code:","Mã VIP:"
"Please enter Member VIP code.", "Vui lòng nhập Mã VIP."
"Please make sure your telephone match.","Số điện thoại không trùng khớp. Vui lòng kiểm tra lại."
"Comfirm Telephone","Nhập lại điện thoại"
"Please do not copy & paste.","Vui lòng không copy & paste."
"HCM 1-3 working days <br>other places 3-7 working days","HCM từ 1-3 ngày làm việc <br>các nơi khác 3-7 ngày làm việc"
"3-5 working days","3-5 ngày làm việc"
"HCM 1 working days <br>other places 2-3 working days","HCM từ 1 ngày làm việc <br>các nơi khác 2-3 ngày làm việc"
"(2-4 weeks)","(2-4 tuần)"
"(1-2 weeks)","(1-2 tuần)"
"Do you want to use fpoint to place order?","Bạn có muốn sử dụng F-point để thanh toán?"
"Amount F-point:","Tài khoản F-point:"
"Amount freeship: %s times","Tài khoản Freeship: %s lần"
"Use F-point for place order","Sử dụng F-point để thanh toán"
"Use Freeship for place order","Sử dụng Freeship để thanh toán"
"Please login to pay buy F-point.","Vui lòng đăng nhập để thanh toán bằng F-point."
"Please <a href='' onclick='triggerLogin(); return false;'>%s</a> to use Fpoint.","Vui lòng <a href='' onclick='triggerLogin(); return false;'>%s</a> để sử dụng FPoint."
"Use Freeship","Sử dụng Freeship"
"F-point Discount","Giảm giá F-point"
"Freeship Amount","Giảm giá vận chuyển"
"Original Shipping Fee", "Phí vận chuyển"
"Yes","Có"
"Membership Fahasa","Thành viên Fahasa"
"Full name","Họ và tên"
"Member Level","Cấp độ thành viên"
"Plastic cover","Bọc sách"
"Member","Thân thiết"
"VIP","VIP"
"F-VIP","F-VIP"
"times","lần"
"title","quyển"
"coming soon","sắp diễn ra"
"Coin code can not apply with pickup location.","Mã giảm giá này không thể áp dụng khi nhận hàng trực tiếp."
"Soon release","Sắp có hàng"
"Note","Ghi chú"
"Date contact","Thời gian"
"Seen","Đã đọc"
"Not seen","Chưa đọc"
"Contact history","Lịch sử liên lạc"
"You have missed %s contacts","Bạn đã lỡ %s lần liên lạc"
"Just a little bit more, and you will receive gift: ","Đặt thêm một tẹo nữa thôi bạn sẽ nhận được: "
"Coupon code:","Mã Giảm Giá/Mã Quà Tặng"
"Select a free gift now","Hãy chọn 1 phần quà miễn phí"
"See more gift","Xem thêm quà"
"View cart", "Kiểm tra lại giỏ hàng"
"Continue buying", "Xác nhận mua thêm"
"Confirm","Xác nhận mua"
"Warning", "Lưu ý"
"Cart has items with quantity of 2","Sản phẩm trong giỏ hàng của bạn có số lượng là 2"
"Duplicated items from current processing orders", "Những sản phẩm đã mua trong đơn hàng truớc"
"Are you sure to buy?","Bạn muốn mua thêm?"
"Refer codes ""%s"" can not use by old customer.","Mã giới thiệu ""%s"" chỉ áp dụng với khách hàng mới."
"Refer codes ""%s"" can not use by yourself.","Mã giới thiệu ""%s"" không áp dụng với người sở hữu."
"Your current account phone number is the same as the phone of the owner refer code (%s). Sorry! code will not be applied!","Số điện thoại tài khoản hiện tại của bạn, giống với số điện thoại của chủ sở hữu mã giới thiệu (% s). Thành thật xin lỗi! Mã sẽ không được áp dụng!"
"(Terms & conditions of sale apply)","(Giảm giá trên web chỉ áp dụng cho bán lẻ)"
"Please enter at maximum 100 character!","Vui lòng nhập tối đa 100 ký tự!"
"Grand total has changed. Please review your cart.", "Tổng số tiền đã thay đổi. Xin vui lòng kiểm tra lại giỏ hàng."
"Outputting invoice","Xuất hóa đơn GTGT"
"Shipping note.","Ghi chú giao hàng."
"Your order has been received and is processing","Đơn hàng của bạn đã được tiếp nhận và đang xử lý"
"Try get result again","Thử nhận lại kết quả"
"Fahasa is processing your order, please wait a moment and try again to get result","Fahasa đang xử lí đơn hàng của bạn, vui lòng đợi trong giây lát và thử lại để nhận kết quả"
"Due to too many orders, please wait in few minutes","Do số lượng đơn hàng quá nhiều, vui lòng đợi trong ít phút nữa"
"Coupon code ""%s"" is no longer valid.","Mã khuyến mãi ""%s"" không còn hiệu lực."
"Coupon code ""%s"" is not valid yet.","Mã khuyến mãi ""%s"" chưa có hiệu lực."
"Coupon code ""%s"" has expired.","Mã khuyến mãi ""%s"" đã hết lượt sử dụng."
"Your coupon code is no longer valid.","Mã khuyến mãi của bạn không còn hiệu lực."
"Your coupon code is not valid yet.","Mã khuyến mãi của bạn chưa có hiệu lực."
"Your coupon code has expired.","Mã khuyến mãi của bạn đã hết lượt sử dụng."
"Your coupon code has Expired.","Mã khuyến mãi của bạn đã hết hạn sử dụng."
"F-Point in your account is not enough.","F-Point trong tài khoản của bạn không đủ."
"Free Ship in your account is not enough.","Free Ship trong tài khoản của bạn không đủ."
"F-Point and Freeship in your account are not enough", "F-Point và Freeship trong tài khoản của bản không đủ"
"Coin code is not enough", "Mã giảm giá không đủ giá trị",
"Products do not support to your address","Một vài sản phẩm không hỗ trợ giao đến địa chỉ của bạn"
"Coupon code ""%s"" only applies to accounts created from %s.","Mã coupon ""%s"" chỉ áp dụng cho những tài khoản tạo từ ngày %s."
"from %s to %s days","từ %s đến %s ngày làm việc"
"from %s day","từ %s ngày làm việc"
"Delivery date: %s","Ngày giao hàng: %s"
"Delivery date:","Ngày giao hàng:"
"Monday","Thứ hai"
"Tuesday","Thứ ba"
"Wednesday","Thứ tư"
"Thursday","Thứ năm"
"Friday","Thứ sáu"
"Saturday","Thứ bảy"
"Sunday","Chủ nhật"
"International shipping","Vận chuyển quốc tế "
"Confirm shipping Address","Xác nhận địa chỉ giao hàng"
"Promotion","Khuyến mãi"
"Promotion for Orders","Khuyến mãi Cho đơn hàng"
"Full name of recipient","Họ và tên người nhận"
"Press full name of recipient","Nhập họ và tên người nhận"
