"%s was added to your shopping cart.","%sがカートに追加されました。"
"%s was updated in your shopping cart.","%sがカートに更新されました。"
"* Required Fields","＊必須項目"
"Get a Quote","料金を見積もる"
"Items","商品"
"Loading next step...","次に進む"
"Manage Terms and Conditions","規約と条件の管理"
"Move","移動する"
"Move to Wishlist","ウィッシュリストに移動する"
"My Cart","カート"
"My Cart (%s item)","カート（%s点）"
"My Cart (%s items)","カート（%s点）"
"New Address","新しい住所"
"Order Review","注文をチェックする"
"Payment Information","お支払情報　"
"Payment Method","お支払方法　"
"Place Order","注文する"
"Note: Your order might be separated into some sub-orders and delivered at different times, because they might be kept in different stores.","注意：ご注文された商品は、異なる場所から配送されていますので、＿＿＿つに分けて配送されます。"
"Please log in below:","ログインしてください"
"Please select region, state or province","地域、州を選択してください"
"Please specify payment method.","お支払方法を選択してください"
"Please specify shipping method.","お届け方法を選択してください"
"Proceed to Checkout","お会計へ進む"
"Qty","数量"
"Images","写真"
"Remove","削除"
"Qty:","数量"
"Quote item is not found.","引用項目が見つかりません。"
"Recently added item(s)","最近追加した商品"
"Register","会員登録"
"Register and save time!","登録して時間を節約しよう！"
"Register to Create an Account","アカウントを作成するために登録する"
"Register with us for future convenience:","ご登録いただくと便利になります"
"Save in address book","アドレスブックに保存する"
"Select State/Province...","州を選択してください"
"Select a billing address from your address book or enter a new address.","アドレスブックから請求先住所を選択してください。もしくは、新しい住所を入力してください。"
"Select a shipping address from your address book or enter a new address.","アドレスブックから配送先住所を選択してください。もしくは、新しい住所を入力してください。"
"Ship to different address","違う住所に配送する"
"Ship to this address","この住所に配送する"
"Shipping Information","お届け情報"
"Shipping Method","お届け方法　"
"Shipping Methods","お届け方法　"
"Shipping information","お届け情報"
"Shopping Cart is Empty","カートは空です"
"Sorry, no quotes are available for this order at this time.","お名前とお届け先住所を入力してください"
"State/Province","州　"
"Submitting order information...","注文を処理中"
"Subtotal","小計"
"Thank you for your purchase!","ご注文頂きありがとうございます。"
"There are <a href=""%s"">%s items</a> in your cart.","カートに%s点商品が入っています"
"There is <a href=""%s"">1 item</a> in your cart.","カートに%s点商品が入っています"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","このメールアドレスは既に登録されています。このメールアドレスでのログイン、もしくは違うメールアドレスで登録してください"
"There was an error processing your order. Please contact us or try again later.","ご注文の処理中にエラーが発生しました。リトライするか、お問い合わせの電話番号まで連絡してください。"
"Unit Price","料金"
"Update Cart","カートを変更する"
"Update Qty &amp; Addresses","数量&amp;住所を変更する"
"Update Shopping Cart","カートを変更する"
"Update Total","小計を更新する"
"Use Billing Address","ご請求先住所と同じ住所を使用する"
"VAT Number","税コード"
"You have no items in your shopping cart.","カートは空です"
"You will receive an order confirmation email with details of your order and a link to track its progress.","まもなくご注文内容の確認メールが届きます。ご注文状況をチェックできるリンクもあります。"
"Your Checkout Progress","お会計状況"
"Your order # is: %s.","ご注文番号は%s"
"Your order has been received.","ご注文が受け取られました。"
"Your order number is ","あなたのご注文番号は："
"Zip/Postal Code","郵便番号"
"Fill in the Fields below to complete your purchase!","買い物を完了するために、以下のボックスに入力してください"
"Name & Address","名前と住所"
"Review Your Order","注文を見る"
"Apply","適用"
"Coupon code is not valid.","クーポンコードは無効です"
"Normal Shipping","通常配送"
"Express Saver","速達配送"
"""%s"" is not a valid hostname.","%sは無効です。"
"""%s"" is a required value.","%sは必須の情報です"
"""%s"" is not a valid email address.","%sは無効のメールアドレスです。"
"Only apply to foreign address","海外の住所のみ適用できます"
"Member","会員"
"Discount (%s)","割引（%s）"
"Additional Fees","追加料金"
"Add Additional Fees","追加料金を追加する"
"Your order may be split and ship multiple times!","あなたのご注文は別々に分けて配送される可能性があります。"
"Please enter a valid phone number. Minimum 7 numbers and no character.","有効な電話番号を入力してください。電話番号は７数字以上で、文字は入りません。"
"Gift wrap","ギフト包装"
"Gift Wrap","ギフト包装"
"Giftwrap","ギフト包装"
"Please use numbers only in this field!","このボックスには数字のみ入力してください"
"Book Collection","オススメの本"
"Coming soon","まもなく入荷"
"Temporarily out of stock.<br/> Please pre-order this item so Fahasa can contact you when it is available.","この商品は現在在庫がありません。<br/>事前注文してください。"
"The items in combo will not be delivered separately.","コンボの商品であれば、別々の配達にはなりません。"
"Items are not available in town. <br/>It will take 3-5 business days for delivering (2 more days for rural areas).","商品はこの街にありません。<br/>お届けは平日３〜５日かかります。（地方ならさらに２日かかります）"
"Please wait as we're redirecting you to our payment gateway. Please do not refresh your browser.","少々お待ちください。お支払ゲートウェイへ接続しています。ウェブサイトを更新しないでください。"
"Successful Payment from Webmoney","電子マネーでお支払いしました。"
"Successful Payment","お支払いできました。"
"Apply VIP Id","VIP IDを適用する"
"VIP code:","VIP コード"
"Please enter Member VIP code.","会員VIPコードを入力してください"
"Please make sure your telephone match.","電話番号が一致しません。"
"Comfirm Telephone","再入力してください"
"Please do not copy & paste.","コピー／貼り付けはしないでください"
"HCM 1-3 working days <br>other places 3-7 working days","ホーチミン市はお届けが平日1〜3日かかります。<br>他の地方は平日3〜7日かかります。"
"3-5 working days","平日3〜5日"
"HCM 1-3 working days <br>other places 3-10 working days","ホーチミン/ハノイ市はお届けが平日1〜3日かかります。<br>他の地方は、平日3〜10日かかります。"
"Shopping Cart","ショッピングカート"
"Coupon code:","クーポンコード:"
"Checkout","会計する"
